city_code_LAMAS,address,building_number,lat,lng,flr_area
1200,חטיבת גבעתי 30,702554002,31.9096929,35.0033092,1871
1200,חשון 28,702554007,31.9153002,35.0123954,1555
1200,אלישע הנביא 13,702554214,31.910638,35.0093823,1209.5
1200,נהר הירדן 32,702554227,31.895728,35.0103285,2571.75
1200,נהר הירדן 34,702554241,31.8969286,35.0079449,2440.25
1200,נהר הירדן 36,702554248,31.896402,35.007059,2149
1200,נחל הירקון 17,702554259,31.8974402,35.0207881,921.25
1200,נחל הירקון 2,702554266,31.898268,35.02099750000001,785.25
1200,כיכר מלאכי הנביא 20,702554270,31.9107383,35.006895,1182
1200,נחל הירקון 8,702554271,31.898283,35.0201646,654
1200,כיכר מלאכי הנביא 2,702554274,31.9107383,35.006895,1112.5
1200,נחל הירקון 6,702554281,31.898252,35.0204143,654
1200,כיכר מלאכי הנביא 4,702554282,31.9109938,35.0069199,1096
1200,כיכר מלאכי הנביא 14,702554288,31.9105414,35.0069492,1221.25
1200,נחל הירקון 4,702554289,31.8983035,35.0205949,671.5
1200,נחל הירקון 26,702554294,31.8972117,35.020867,1314.25
1200,כיכר מלאכי הנביא 6,702554296,31.9110715,35.0066616,1060.75
1200,נחל הירקון 18,702554302,31.8974402,35.0207881,1289.75
1200,כיכר מלאכי הנביא 8,702554303,31.9112281,35.00650640000001,1063
1200,כיכר מלאכי הנביא 16,702554307,31.9105414,35.0069492,1071.75
1200,חטיבת גבעתי 17,702554310,31.9130161,34.9996067,2263.25
1200,חטיבת גבעתי 19,702554317,31.9130161,34.9996067,2263.25
1200,חשון 3,702554322,31.9126436,35.0142493,1725.75
1200,חטיבת גבעתי 21,702554325,31.910475,35.002373,2263.25
1200,חשון 5,702554328,31.9128285,35.0138948,1641
1200,חשון 7,702554334,31.9132182,35.0137125,1963
1200,חטיבת גבעתי 11,702554336,31.910416,35.001976,1125.5
1200,חשון 19,702554338,31.9147555,35.0110009,1232.75
1200,חשון 21,702554345,31.9139818,35.0135714,1696.25
1200,חשון 15,702554354,31.9147555,35.0110009,816.5
1200,חטיבת גבעתי 9,702554360,31.91023049999999,35.0022079,789.25
1200,חטיבת גבעתי 7,702554369,31.9100845,35.0024019,819.75
1200,חשון 27,702554370,31.9153002,35.0123954,1228
1200,שני 28,702554395,31.9016631,34.9923906,1211.75
1200,שני 26,702554400,31.9012975,34.9945795,1042.75
1200,חטיבת גבעתי 20,702554405,31.9095783,35.0035655,972
1200,נחל הירקון 16,702554511,31.8974402,35.0207881,1289.75
1200,נחל הירקון 14,702554517,31.8974402,35.0207881,1296.25
1200,כיכר מלאכי הנביא 18,702554519,31.9105414,35.0069492,1044.25
1200,נחל הירקון 22,702554525,31.8975649,35.0189976,1254.25
1200,נחל הירקון 24,702554533,31.8972117,35.020867,1330.75
1200,נחל הירקון 21,702554541,31.8981737,35.0197679,909.5
1200,נחל הירקון 23,702554551,31.89712819999999,35.0201215,909.5
1200,נחל הירקון 19,702554560,31.8974402,35.0207881,921.25
1200,חטיבת הצנחנים 16,702554563,31.9094399,34.9962082,952.25
1200,נחל הירקון 3,702554564,31.8980693,35.02059,927
1200,חטיבת הצנחנים 14,702554574,31.9094399,34.9962082,1037.25
1200,נחל הירקון 1,702554578,31.8980406,35.020823,927
1200,חטיבת הצנחנים 12,702554581,31.9078239,34.9988606,938.25
1200,נחל הירקון 5,702554587,31.89801469999999,35.0202968,932
1200,חטיבת הצנחנים 10,702554589,31.9046118,35.000859,1097
1200,נחל הירקון 7,702554593,31.8980612,35.0201471,932
1200,חטיבת הצנחנים 8,702554594,31.9052054,35.0007734,953
1200,נחל הירקון 12,702554602,31.8973951,35.0206335,639
1200,חטיבת הצנחנים 6,702554607,31.9050825,35.0009682,852.5
1200,שני 2,702554612,31.90092,35.0011172,1104.25
1200,חטיבת גבעתי 18,702554616,31.9130161,34.9996067,1128
1200,שני 4,702554621,31.9007567,35.0008011,1111.75
1200,חטיבת גבעתי 16,702554622,31.9130161,34.9996067,913.75
1200,שני 6,702554627,31.9005773,35.0004206,1085.75
1200,תכלת 50,702554629,31.9023826,34.9998756,4579.75
1200,חטיבת גבעתי 14,702554632,31.9130161,34.9996067,929.5
1200,תכלת 56,702554638,31.9019849,34.9954173,4642.25
1200,נחל חבר 4,702554645,31.8939529,35.0104264,2023
1200,תכלת 38,702554671,31.9025998,34.9930497,4914.25
1200,תכלת 38,702554678,31.9025998,34.9930497,4914.25
1200,נחל חבר 20,702554687,31.8940497,35.0108703,974
1200,תכלת 38,702554689,31.9025998,34.9930497,4914.25
1200,חטיבת גבעתי 4,702554692,31.9098188,35.0033977,1021.25
1200,נחל חבר 22,702554696,31.8932585,35.0088897,974
1200,חטיבת גבעתי 2,702554697,31.9095783,35.0035655,873.5
1200,חטיבת הצנחנים 4,702554913,31.9049081,35.001112,977.25
1200,נחל הירקון 30,702554918,31.898044,35.02059029999999,948.5
1200,נחל הירקון 32,702554927,31.8974402,35.0207881,390.75
1200,נחל הירקון 34,702554934,31.8974402,35.0207881,770.25
1200,חטיבת הצנחנים 22,702554936,31.90661519999999,34.9998526,1302
1200,חטיבת הצנחנים 24,702554945,31.90943099999999,34.9966926,953.75
1200,חטיבת הצנחנים 26,702554949,31.90943099999999,34.9966926,921.5
1200,חטיבת הצנחנים 28,702554957,31.90943099999999,34.9966926,1385
1200,חטיבת הצנחנים 30,702554970,31.9049601,35.0005721,1385
1200,נחל שורק 7,702554976,31.894832,35.0102047,980.25
1200,נחל שורק 5,702554983,31.89465659999999,35.0103495,961.75
1200,נחל שורק 3,702554990,31.8944864,35.0105155,857.5
1200,נחל שורק 1,702554997,31.8941907,35.0109033,1015.25
1200,חטיבת הצנחנים 7,702555003,31.9056572,35.0003221,1037.25
1200,חטיבת גבעתי 6,702555017,31.910024,35.003111,855.5
1200,תכלת 64,702555019,31.9021958,34.9947041,4748
1200,תכלת 58,702555030,31.902922,34.992937,4749.25
1200,חטיבת גבעתי 10,702555031,31.9094188,35.0034643,839
1200,חטיבת גבעתי 8,702555037,31.910052,35.002861,936.5
1200,עמק בית שאן 48,702555072,31.9147484,34.9976908,680.25
1200,נחל חבר 11,702555075,31.893085,35.009287,1504.5
1200,עמק בית שאן 46,702555076,31.9147484,34.9976908,657
1200,עמק בית שאן 39,702555089,31.9147484,34.9976908,1068.75
1200,נחל חבר 7,702555092,31.8935492,35.0095603,1141.75
1200,נחל חבר 9,702555100,31.893258,35.009421,1546.25
1200,עמק בית שאן 43,702555103,31.9124781,35.0019032,609
1200,נחל שורק 6,702555313,31.89480959999999,35.0104496,1550.25
1200,נחל שורק 2,702555316,31.8943287,35.0109993,1390.5
