id,floors,stat_area
702560516,4,311
702560520,4,223
702560525,4,214
702560529,5,224
702560533,4,311
702560535,5,224
702560544,5,224
702560545,4,214
702560559,4,214
702560561,5,224
702560565,5,224
702560568,4,214
702560569,10,112
702560578,4,214
702560587,4,214
702560590,2,224
702560591,10,112
702560598,4,214
702560601,10,112
702560642,5,113
702560647,5,113
702560658,5,113
702560667,3,113
702560674,3,113
702560685,3,113
702560693,3,113
702560809,4,214
702560813,6,214
702560826,6,214
702560831,2,224
702560836,6,214
702560842,6,214
702560856,2,224
702560864,2,224
702560870,4,214
702560872,2,224
702560888,4,214
702560892,2,224
702560897,2,224
702560906,2,224
702561011,3,113
702561020,3,113
702561029,3,113
702561039,3,113
702561049,3,113
702561054,3,113
702561065,3,113
702561077,3,113
702561083,3,113
702561094,4,113
702561103,4,113
702561135,3,223
702561143,3,223
702561150,3,223
702561153,3,114
702561162,3,114
702561163,3,222
702561173,3,222
702561192,3,223
702561208,4,222
702561310,4,113
702561319,4,113
702561325,4,113
702561333,4,113
702561340,4,113
702561360,4,311
702561366,4,311
702561376,4,311
702561385,4,311
702561403,4,311
702561520,3,222
702561531,3,222
702561532,3,114
702561537,3,222
702561540,3,114
702561544,3,222
702561545,3,114
702561551,3,222
702561553,3,114
702561558,3,222
702561559,3,114
702561567,3,222
702561568,3,114
702561573,3,223
702561574,3,114
702561584,3,223
702561585,3,114
702561596,3,223
702561711,4,311
702561719,4,311
702561726,4,311
702561736,4,311
702561743,4,311
702561746,3,113
702561749,4,311
702561761,4,311
702561762,4,113
702561769,3,113
702561774,3,113
702561783,3,113
702561793,3,113
702561801,3,113
702561923,3,114
702561948,3,222
702561954,3,224
702561965,3,224
702561972,3,224
702561973,4,114
702561998,3,223
702562003,3,114
702562005,3,223
702562007,3,114
702562016,3,113
702562029,3,113
702562039,3,113
702562317,3,223
702562324,3,223
702562333,3,223
702562341,3,223
702562352,3,114
702562356,3,223
702562360,3,223
702562367,2,114
702562368,3,223
702562377,3,222
702562382,3,222
702562388,2,114
702562395,3,114
702562399,3,222
702562404,3,114
702562405,3,222
702562520,6,211
702562528,6,211
702562538,4,214
702562550,4,214
702562561,4,214
702562572,4,214
702562577,4,214
702562587,4,214
702562714,3,222
702562715,3,114
702562718,3,223
702562722,3,114
702562725,3,223
702562730,3,114
702562737,3,114
702562741,3,223
702562746,3,114
702562756,3,225
702562757,3,114
702562762,3,225
702562766,3,114
702562769,3,225
702562774,2,114
702562776,3,225
702562784,3,114
702562786,3,225
702562795,3,114
702562802,3,114
702563113,3,114
702563199,4,311
702563207,4,311
702563512,3,221
702563515,4,311
702563522,4,221
702563528,4,311
702563531,4,221
702563536,4,311
702563547,4,311
702563553,4,221
702563555,4,311
702563562,3,221
702563565,4,311
702563567,4,221
702563571,3,114
702563575,4,221
702563576,3,114
702563585,3,114
702563593,4,221
702563594,3,114
702563595,5,312
702563601,4,221
702563604,3,114
702563608,4,221
702563631,4,113
702563637,4,113
702563644,4,113
702563662,3,213
702563674,3,213
702563683,3,213
702563691,3,213
702563777,2,312
702563787,2,312
702563798,2,312
702563916,3,114
702563919,4,221
702563926,4,221
702563930,3,114
702563932,3,114
702563937,4,221
702563943,3,114
702563948,4,221
702563956,3,221
702563957,4,114
702563967,4,221
702563976,4,221
702563985,4,221
702563994,4,221
702564069,3,213
702564078,3,213
702564087,3,213
702564328,4,221
702564337,4,221
702564348,4,221
702564408,3,123
702564411,5,213
702564427,5,213
702564444,3,213
702564465,3,213
702564473,3,211
702564482,3,211
702564499,3,211
702564507,3,211
702564713,3,211
702564724,3,211
702564818,3,123
702564827,3,123
702564836,3,123
702564843,4,123
702564852,4,123
702564861,4,123
702564884,4,123
702565162,3,211
702565170,3,211
702565253,4,221
702565261,4,221
702565263,5,123
702565276,4,221
702565281,3,123
702565283,4,221
702565292,4,123
702565301,4,123
702565302,4,221
702565305,6,312
702565610,6,123
702565614,6,312
702565615,6,123
702565621,6,312
702565623,5,214
702565625,5,214
702565627,4,123
702565632,5,214
702565636,4,123
702565637,5,312
702565644,5,312
702565647,4,123
702565648,5,214
702565654,4,123
702565655,5,312
